*
Customer,Record_Number,Quantity,Batch,Already_Used,ID
*
Sistema,1,50,10227,YES,100000001
Sistema,2,50,10227,YES,100000002
Sistema,3,50,10227,YES,100000003
Sistema,4,50,10227,YES,100000004
Sistema,5,50,10227,YES,100000005
Sistema,6,50,10228,YES,100000006
Sistema,7,50,10228,YES,100000007
Sistema,8,50,10228,YES,100000008
Sistema,9,50,10228,YES,100000009
Sistema,10,50,10228,YES,100000010
Sistema,11,50,10228,YES,100000011
Sistema,12,50,10228,YES,100000012
Sistema,13,50,10228,YES,100000013
Sistema,14,50,10228,YES,100000014
Sistema,15,50,10228,YES,100000015
Sistema,16,50,10229,YES,100000016
Sistema,17,50,10229,YES,100000017
Sistema,18,50,10229,YES,100000018
Sistema,19,50,10229,YES,100000019
Sistema,20,50,10229,YES,100000020
Sistema,21,50,10230,YES,100000021
Sistema,22,50,10230,YES,100000022
Sistema,23,50,10230,YES,100000023
Sistema,24,50,10230,YES,100000024
Sistema,25,50,10230,YES,100000025
Sistema,26,50,10230,YES,100000026
Sistema,27,50,10230,YES,100000027
Sistema,28,50,10230,YES,100000028
Sistema,29,50,10230,YES,100000029
Sistema,30,50,10230,YES,100000030
Sistema,31,50,10230,YES,100000031
Sistema,32,50,10230,YES,100000032
Sistema,33,50,10230,YES,100000033
Sistema,34,50,10230,YES,100000034
Sistema,35,50,10230,YES,100000035
Sistema,36,50,10230,YES,100000036
Sistema,37,50,10230,YES,100000037
Sistema,38,50,10230,YES,100000038
Sistema,39,50,10230,YES,100000039
Sistema,40,50,10230,YES,100000040
Sistema,41,50,10230,YES,100000041
Sistema,42,50,10230,YES,100000042
Sistema,43,50,10230,YES,100000043
Sistema,44,50,10230,YES,100000044
Sistema,45,50,10230,YES,100000045
Sistema,46,50,10230,YES,100000046
Sistema,47,50,10230,YES,100000047
Sistema,48,50,10230,YES,100000048
Sistema,49,50,10230,YES,100000049
Sistema,50,50,10230,YES,100000050

